Country,state,route,year,month,day,Obs,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,assistant,RunType
840,53,001,2015,6,17,       1150664,47,45,76,F,0,2,0,2,0511,1036,1,1
840,53,002,1968,6,8,       1040057,53,50,58,F,1,1,2,2,0507,0926,0,1
840,53,002,1969,6,7,       1040057,53,50,54,F,0,3,2,2,0505,0923,0,1
840,53,002,1970,6,6,       1040057,58,50,70,F,0,0,0,0,0505,0933,0,1
840,53,002,1971,6,6,       1040057,55,50,56,F,0,0,2,5,0505,0934,0,1
840,53,002,1972,6,9,       1040057,55,58,70,F,0,0,2,2,0505,0930,0,1
840,53,002,1973,6,8,       1040057,58,58,62,F,0,3,2,2,0505,0932,0,1
840,53,002,1974,6,6,       1040057,57,46,50,F,1,2,2,2,0505,0930,0,1
840,53,002,1975,6,7,       1040057,57,43,58,F,1,0,0,1,0505,0930,0,1
840,53,002,1976,6,6,       1040057,57,43,61,F,2,2,2,2,0505,0935,0,1
840,53,002,1977,6,7,       1040057,61,58,69,F,0,1,2,2,0505,0937,0,1
840,53,002,1978,6,4,       1060084,72,63,69,F,1,1,0,0,0505,0945,0,1
840,53,002,1979,6,10,       1060084,82,42,68,F,2,2,0,2,0505,0925,0,1
840,53,002,1980,6,22,       1060084,75,60,72,F,2,1,1,2,0505,0910,0,1
840,53,002,1981,6,7,       1060084,82,52,66,F,1,1,2,2,0505,0939,0,1
840,53,002,1982,6,12,       1060084,78,52,63,F,1,2,0,0,0505,0917,0,1
840,53,002,1983,6,19,       1060084,73,55,60,F,2,1,1,2,0505,0856,0,1
840,53,002,1984,6,16,       1060084,81,48,65,F,2,1,1,1,0505,0910,0,1
840,53,002,1985,6,16,       1060084,73,45,63,F,2,1,0,0,0505,0910,0,1
840,53,002,1986,6,14,       1060084,74,48,72,F,2,2,0,1,0505,0902,0,1
840,53,002,1987,6,7,       1060084,70,40,68,F,1,2,0,0,0505,0905,0,1
840,53,002,1988,6,5,       1060084,75,57,64,F,2,1,2,1,0505,0855,0,1
840,53,002,1989,6,3,       1060084,77,56,62,F,1,2,2,1,0505,0855,0,1
840,53,002,1990,6,10,       1060084,83,58,65,F,2,1,2,2,0505,0900,0,1
840,53,002,1991,6,9,       1060084,69,33,55,F,2,1,1,1,0505,0905,0,1
840,53,002,1992,6,7,       1060084,75,40,68,F,2,1,0,0,0505,0900,0,1
840,53,002,1993,6,6,       1060084,74,45,66,F,2,2,1,2,0505,0927,0,1
840,53,002,1994,6,5,       1060084,73,38,65,F,1,0,0,0,0505,0910,0,1
840,53,002,1995,6,10,       1060084,81,41,70,F,1,1,0,0,0505,0925,0,1
840,53,002,1996,6,2,       1060084,73,50,76,F,2,1,2,1,0505,0930,0,1
840,53,002,1997,6,8,       1060084,77,53,72,F,2,1,2,1,0505,0942,0,1
840,53,002,1998,6,8,        990287,87,44,56,F,1,3,1,2,0507,0933,1,1
840,53,002,1999,6,16,        990287,86,50,67,F,1,2,1,2,0505,0933,1,1
840,53,002,2000,6,10,        990287,82,36,55,F,2,1,1,0,0506,0941,1,1
840,53,002,2001,6,10,        990287,84,48,50,F,0,1,2,5,0505,1003,1,1
840,53,002,2002,6,22,        990287,86,50,70,F,1,2,1,1,0510,0927,1,1
840,53,002,2003,6,9,        990287,87,45,53,F,2,1,1,2,0507,0927,1,1
840,53,002,2004,6,14,        990287,75,48,58,F,2,3,2,1,0505,0933,1,1
840,53,002,2005,6,7,        990287,75,50,49,F,0,0,4,4,0510,0942,1,1
840,53,002,2006,6,13,        990287,79,52,66,F,2,2,2,1,0505,0907,0,1
840,53,002,2007,6,8,        990287,86,50,54,F,0,2,2,5,0508,1000,0,1
840,53,002,2008,6,13,        990287,92,45,58,F,1,2,2,0,0505,0940,0,1
840,53,002,2009,6,11,        990287,81,39,57,F,0,1,0,0,0505,0944,1,1
840,53,002,2010,6,8,        990287,85,43,57,F,1,0,1,1,0505,0937,0,1
840,53,002,2011,6,9,        990287,86,45,52,F,1,1,2,2,0505,0945,1,1
840,53,002,2012,6,14,        990287,82,43,55,F,2,2,1,1,0506,0951,0,1
840,53,002,2013,6,8,        990287,91,46,63,F,0,1,0,0,0505,0937,0,1
840,53,002,2014,6,7,        990287,84,42,60,F,2,1,0,1,0505,0939,0,1
840,53,002,2015,6,4,        990287,85,44,58,F,2,0,0,1,0505,0951,0,1
840,53,002,2016,6,8,        990287,82,55,56,F,3,1,1,2,0505,0952,0,1
840,53,002,2017,6,8,       1040596,66,53,72,F,0,1,0,2,0505,1114,0,1
840,53,002,2018,6,20,       1040596,78,46,64,F,0,1,0,0,0505,1044,0,1
840,53,002,2019,6,11,       1040596,76,51,67,F,1,0,0,0,0505,1115,0,1
840,53,003,1968,6,23,        990065,30,46,58,F,0,2,1,2,0506,0935,0,1
840,53,003,1969,6,30,        990065,28,48,63,F,2,3,0,0,0504,0844,0,1
840,53,003,1970,6,20,        990065,34,58,68,F,0,2,0,0,0501,0910,0,1
840,53,003,1971,7,4,        990065,30,40,61,F,2,4,1,1,0503,0855,0,1
840,53,003,1972,6,17,       1000035,40,48,50,F,0,3,1,0,0501,0900,0,1
840,53,003,1973,6,15,       1000035,35,48,46,F,1,4,2,5,0501,0910,0,0
840,53,003,1974,6,30,       1020105,36,61,71,F,3,2,1,0,0504,0950,0,1
840,53,003,1976,6,17,       1150302,43,48,61,F,0,1,1,1,0500,0950,0,1
840,53,003,1977,7,4,       1190277,51,41,69,F,2,2,0,0,0507,1005,0,1
840,53,003,1979,6,29,       1070126,51,47,73,F,1,2,0,0,0505,0957,0,1
840,53,003,1980,6,14,       1000035,45,38,54,F,0,0,0,0,0501,0856,0,1
840,53,003,1981,7,8,        990221,43,44,58,F,0,3,1,0,0507,0923,0,1
840,53,003,1982,6,30,        990221,46,50,58,F,1,3,1,2,0506,0932,0,1
840,53,003,1985,6,12,       1190264,48,55,60,F,0,3,1,1,0501,0847,0,1
840,53,003,1986,6,13,        980410,50,48,65,F,1,4,0,0,0500,0941,0,1
840,53,003,1987,6,28,        980410,46,55,62,F,0,3,1,1,0506,0911,0,1
840,53,003,1988,6,8,        980410,58,38,55,F,1,0,1,2,0501,0933,0,1
840,53,003,1989,6,14,        980410,59,48,59,F,2,3,2,2,0501,0940,0,1
840,53,003,1990,6,21,        980410,53,48,65,F,1,1,0,0,0500,0930,0,1
840,53,003,1991,7,2,        980410,54,50,65,F,0,3,0,0,0501,0910,0,1
840,53,003,1992,6,25,        980410,62,48,58,F,1,3,1,1,0501,0908,0,1
840,53,003,1993,7,1,        980410,40,51,58,F,4,5,1,1,0501,0915,0,0
840,53,003,1994,6,21,        980410,46,48,62,F,1,4,0,0,0501,0935,0,1
840,53,003,1995,6,28,        980410,45,35,53,F,1,3,4,1,0505,0935,0,1
840,53,003,1997,6,24,        980410,53,45,55,F,3,3,1,2,0500,0935,1,1
840,53,003,2000,6,26,       1040619,54,48,58,F,0,3,2,2,0501,1015,1,1
840,53,003,2001,6,29,       1040619,46,51,68,F,2,3,0,0,0501,1015,1,1
840,53,003,2002,7,3,       1040619,43,37,56,F,0,2,0,0,0505,0940,1,1
840,53,003,2003,6,29,       1040619,57,43,70,F,0,2,0,0,0501,0932,0,1
840,53,003,2004,7,3,       1030167,50,46,60,F,1,2,1,2,0501,0932,0,1
840,53,003,2005,6,19,       1030167,52,45,56,F,2,4,1,0,0501,0933,0,1
840,53,003,2006,6,18,       1030167,56,46,59,F,2,2,0,0,0501,0931,0,1
840,53,003,2007,6,9,       1030167,52,52,55,F,4,4,0,2,0501,0927,0,0
840,53,003,2008,6,16,       1030167,64,37,68,F,1,2,0,0,0501,0914,1,1
840,53,013,1977,6,7,       1150408,42,63,60,F,2,2,2,5,0515,0921,0,1
840,53,013,1978,6,13,        980252,44,45,72,F,0,3,0,0,0513,0930,0,1
840,53,013,1979,6,28,        980252,44,51,65,F,1,2,0,0,0517,0935,0,1
840,53,013,1980,6,11,        980252,45,52,68,F,0,0,2,1,0514,0935,0,1
840,53,013,1981,6,12,        980252,44,60,42,F,1,2,2,8,0514,1000,0,1
840,53,013,1982,6,20,        980252,52,50,65,F,0,0,0,0,0514,0905,0,1
840,53,013,1983,7,7,        980252,33,68,63,F,0,0,0,1,0516,0848,0,1
840,53,013,1984,6,15,        980252,45,60,68,F,1,1,0,1,0514,0923,0,1
840,53,013,1985,6,12,        980252,47,58,75,F,0,0,0,0,0521,0937,0,1
840,53,013,1986,6,29,        980252,54,65,68,F,0,0,1,2,0514,0955,0,1
840,53,013,1987,7,1,        980252,43,62,69,F,0,0,1,2,0514,0930,0,1
840,53,013,1988,7,4,        980252,49,62,75,F,0,1,1,1,0514,0920,0,1
840,53,013,1989,6,24,        980252,42,50,60,F,0,0,0,0,0514,0939,0,1
840,53,013,1990,7,6,        980252,45,55,66,F,0,1,0,0,0514,0928,0,1
840,53,013,1991,7,4,        980252,37,62,75,F,1,1,0,0,0514,0940,0,1
840,53,013,1992,7,2,       1060166,45,60,72,F,0,0,1,2,0520,1110,0,1
840,53,013,1993,6,29,        990380,48,57,69,F,0,0,2,2,0530,1145,0,1
840,53,013,1994,6,29,        990380,48,57,75,F,0,0,0,0,0531,1130,0,1
840,53,013,1995,6,29,        990380,45,51,70,F,0,0,0,0,0514,1028,0,1
840,53,013,1996,7,1,        990380,44,50,74,F,0,0,0,0,0507,1050,0,1
840,53,013,1997,7,2,        990380,43,10,17,C,0,0,2,1,0510,1028,1,1
840,53,013,1998,7,1,        990380,47,21,28,C,0,0,1,0,0512,1033,0,1
840,53,013,1999,6,30,        990380,41,64,64,F,0,2,2,2,0510,1030,0,1
840,53,013,2000,7,7,        990380,46,40,55,F,0,0,4,2,0520,1022,0,1
840,53,013,2001,7,10,        990380,43,15,32,C,0,0,1,0,0529,1107,1,1
840,53,013,2002,7,1,        990380,41,62,59,F,1,5,2,2,0515,1111,0,0
840,53,013,2003,6,29,        990380,48,53,58,F,0,0,1,1,0516,1045,1,1
840,53,013,2004,7,27,        990380,33,62,65,F,0,0,0,0,0518,0859,1,0
840,53,013,2006,6,30,        990380,52,60,63,F,0,1,2,2,0515,1114,0,1
840,53,013,2007,7,3,        990380,52,55,75,F,1,0,0,0,0514,1032,0,1
840,53,013,2008,7,2,        990380,48,54,74,F,0,0,2,1,0513,1056,0,1
840,53,013,2009,7,1,        990380,53,43,70,F,0,0,0,0,0515,1058,0,1
840,53,013,2010,6,23,        990828,47,45,62,F,0,2,0,1,0519,1149,0,1
840,53,013,2011,7,1,        990828,43,42,55,F,0,2,0,0,0519,1059,0,1
840,53,013,2012,6,22,        990828,46,42,61,F,0,1,2,2,0515,1056,0,1
