RootFolder,File,RelativePath,DateTime,DeleteFlag,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment,
22-305_275,IMG_0047.JPG,275\DCIM, 2022-11-14 18:27:56,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0048.JPG,275\DCIM, 2022-11-14 18:27:58,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0049.JPG,275\DCIM, 2022-11-14 18:28:00,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0050.JPG,275\DCIM, 2022-11-14 18:28:03,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0051.JPG,275\DCIM, 2022-11-14 18:28:57,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0052.JPG,275\DCIM, 2022-11-14 18:28:58,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0053.JPG,275\DCIM, 2022-11-14 18:29:01,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0054.JPG,275\DCIM, 2022-11-14 18:29:03,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0055.JPG,275\DCIM, 2022-11-14 18:29:05,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0056.JPG,275\DCIM, 2022-11-14 18:30:02,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0057.JPG,275\DCIM, 2022-11-14 18:30:03,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0058.JPG,275\DCIM, 2022-11-14 18:30:06,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0059.JPG,275\DCIM, 2022-11-14 18:30:08,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0060.JPG,275\DCIM, 2022-11-14 18:30:10,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0061.JPG,275\DCIM, 2022-11-14 18:31:14,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0062.JPG,275\DCIM, 2022-11-14 18:31:15,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0063.JPG,275\DCIM, 2022-11-14 18:31:17,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0064.JPG,275\DCIM, 2022-11-14 18:31:19,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0065.JPG,275\DCIM, 2022-11-14 18:31:22,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0066.JPG,275\DCIM, 2022-11-14 18:32:19,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0067.JPG,275\DCIM, 2022-11-14 18:32:20,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0068.JPG,275\DCIM, 2022-11-14 18:32:23,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0069.JPG,275\DCIM, 2022-11-14 18:32:25,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0070.JPG,275\DCIM, 2022-11-14 18:32:27,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0071.JPG,275\DCIM, 2022-11-14 18:33:22,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0072.JPG,275\DCIM, 2022-11-14 18:33:24,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0073.JPG,275\DCIM, 2022-11-14 18:33:26,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0074.JPG,275\DCIM, 2022-11-14 18:33:28,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0075.JPG,275\DCIM, 2022-11-14 18:33:31,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0076.JPG,275\DCIM, 2022-11-14 18:34:43,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0077.JPG,275\DCIM, 2022-11-14 18:34:45,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0078.JPG,275\DCIM, 2022-11-14 18:34:47,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0079.JPG,275\DCIM, 2022-11-14 18:34:49,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0080.JPG,275\DCIM, 2022-11-14 18:34:51,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0081.JPG,275\DCIM, 2022-11-14 18:36:03,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0082.JPG,275\DCIM, 2022-11-14 18:36:04,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0083.JPG,275\DCIM, 2022-11-14 18:36:06,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0084.JPG,275\DCIM, 2022-11-14 18:36:09,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0085.JPG,275\DCIM, 2022-11-14 18:36:11,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0086.JPG,275\DCIM, 2022-11-14 18:37:24,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0087.JPG,275\DCIM, 2022-11-14 18:37:26,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0088.JPG,275\DCIM, 2022-11-14 18:37:28,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0089.JPG,275\DCIM, 2022-11-14 18:37:30,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0090.JPG,275\DCIM, 2022-11-14 18:37:32,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0091.JPG,275\DCIM, 2022-11-14 18:38:27,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0092.JPG,275\DCIM, 2022-11-14 18:38:29,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
