RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
24-011_300,IMG_0001.MP4,DCIM\100_BTCF , 2024-01-25 10:06:56,TRUE,9,300,0,0,0,0,0,0,0,0,,0,setup
24-011_300,IMG_0002.MP4,DCIM\100_BTCF , 2024-01-25 10:22:00,TRUE,9,300,0,0,4,0,0,0,0,0,,0,
24-011_300,IMG_0003.MP4,DCIM\100_BTCF , 2024-01-25 10:24:22,TRUE,9,300,0,0,4,0,0,0,0,0,,0,
24-011_300,IMG_0004.MP4,DCIM\100_BTCF , 2024-01-25 10:25:58,TRUE,9,300,0,0,3,0,0,0,0,0,,0,
24-011_300,IMG_0005.MP4,DCIM\100_BTCF , 2024-01-25 10:27:16,TRUE,9,300,0,0,4,0,0,0,0,0,,0,
24-011_300,IMG_0006.MP4,DCIM\100_BTCF , 2024-01-25 10:28:44,TRUE,9,300,0,0,6,0,0,0,0,0,,0,
24-011_300,IMG_0007.MP4,DCIM\100_BTCF , 2024-01-25 10:30:02,TRUE,9,300,0,0,6,0,0,0,0,0,,0,
24-011_300,IMG_0008.MP4,DCIM\100_BTCF , 2024-01-25 10:31:14,TRUE,9,300,0,0,8,0,0,0,0,0,,0,
24-011_300,IMG_0009.MP4,DCIM\100_BTCF , 2024-01-25 10:32:26,TRUE,9,300,0,0,9,0,0,0,0,0,,0,
24-011_300,IMG_0010.MP4,DCIM\100_BTCF , 2024-01-25 10:33:42,TRUE,9,300,0,0,9,0,0,0,0,0,,0,
24-011_300,IMG_0011.MP4,DCIM\100_BTCF , 2024-01-25 10:35:00,TRUE,9,300,0,0,10,0,0,0,0,0,,0,
24-011_300,IMG_0012.MP4,DCIM\100_BTCF , 2024-01-25 10:36:38,TRUE,9,300,0,0,7,0,0,0,0,0,,0,
24-011_300,IMG_0013.MP4,DCIM\100_BTCF , 2024-01-25 10:37:48,TRUE,9,300,0,0,8,0,0,0,0,0,,0,
24-011_300,IMG_0014.MP4,DCIM\100_BTCF , 2024-01-25 10:39:02,TRUE,9,300,0,0,9,0,0,0,0,0,,0,
24-011_300,IMG_0015.MP4,DCIM\100_BTCF , 2024-01-25 10:40:24,TRUE,9,300,0,0,9,0,0,0,0,0,,0,
24-011_300,IMG_0016.MP4,DCIM\100_BTCF , 2024-01-25 10:41:52,TRUE,9,300,0,0,10,0,0,0,0,0,,0,
24-011_300,IMG_0017.MP4,DCIM\100_BTCF , 2024-01-25 10:43:30,TRUE,9,300,0,0,6,0,0,0,0,0,,0,raven call
24-011_300,IMG_0018.MP4,DCIM\100_BTCF , 2024-01-25 10:45:34,TRUE,9,300,0,0,10,0,0,0,0,0,,0,
24-011_300,IMG_0019.MP4,DCIM\100_BTCF , 2024-01-25 10:46:50,TRUE,9,300,0,0,11,0,0,0,0,0,,0,raven call
24-011_300,IMG_0020.MP4,DCIM\100_BTCF , 2024-01-25 10:48:02,TRUE,9,300,0,0,8,0,0,0,0,0,,0,
24-011_300,IMG_0021.MP4,DCIM\100_BTCF , 2024-01-25 10:49:44,TRUE,9,300,0,0,8,0,0,0,0,0,,0,
24-011_300,IMG_0022.MP4,DCIM\100_BTCF , 2024-01-25 10:50:56,TRUE,9,300,0,0,14,0,0,0,0,0,,0,
24-011_300,IMG_0023.MP4,DCIM\100_BTCF , 2024-01-25 10:52:08,TRUE,9,300,0,0,16,0,0,0,0,0,,0,raven call
24-011_300,IMG_0024.MP4,DCIM\100_BTCF , 2024-01-25 10:53:16,TRUE,9,300,0,0,10,0,0,0,0,0,,0,
24-011_300,IMG_0025.MP4,DCIM\100_BTCF , 2024-01-25 10:54:26,TRUE,9,300,0,0,9,0,1,0,0,0,,0,
24-011_300,IMG_0026.MP4,DCIM\100_BTCF , 2024-01-25 10:55:38,TRUE,9,300,0,0,12,0,1,0,0,0,,0,
24-011_300,IMG_0027.MP4,DCIM\100_BTCF , 2024-01-25 10:56:48,TRUE,9,300,0,0,8,0,1,0,0,0,,0,
24-011_300,IMG_0028.MP4,DCIM\100_BTCF , 2024-01-25 10:58:00,TRUE,9,300,0,0,7,0,1,0,0,0,,0,
24-011_300,IMG_0029.MP4,DCIM\100_BTCF , 2024-01-25 10:59:40,TRUE,9,300,0,0,7,0,1,0,0,0,,0,
24-011_300,IMG_0030.MP4,DCIM\100_BTCF , 2024-01-25 11:00:50,TRUE,9,300,0,0,10,0,1,0,0,0,,0,raven call
24-011_300,IMG_0031.MP4,DCIM\100_BTCF , 2024-01-25 11:02:02,TRUE,9,300,0,0,11,0,1,0,0,0,,0,
24-011_300,IMG_0032.MP4,DCIM\100_BTCF , 2024-01-25 11:03:14,TRUE,9,300,0,0,5,0,1,0,0,0,,0,
24-011_300,IMG_0033.MP4,DCIM\100_BTCF , 2024-01-25 11:04:40,TRUE,9,300,0,0,7,0,1,0,0,0,,0,
24-011_300,IMG_0034.MP4,DCIM\100_BTCF , 2024-01-25 11:06:02,TRUE,9,300,0,0,7,0,1,0,0,0,,0,
24-011_300,IMG_0035.MP4,DCIM\100_BTCF , 2024-01-25 11:07:14,TRUE,9,300,0,0,3,0,2,0,0,0,,0,
24-011_300,IMG_0036.MP4,DCIM\100_BTCF , 2024-01-25 11:08:56,TRUE,9,300,0,0,2,0,3,0,0,0,,0,
24-011_300,IMG_0037.MP4,DCIM\100_BTCF , 2024-01-25 11:10:36,TRUE,9,300,0,0,9,0,1,0,0,0,,0,
24-011_300,IMG_0038.MP4,DCIM\100_BTCF , 2024-01-25 11:12:08,TRUE,9,300,0,0,9,0,1,0,0,0,,0,
24-011_300,IMG_0039.MP4,DCIM\100_BTCF , 2024-01-25 11:13:18,TRUE,9,300,0,0,8,0,1,0,0,0,,0,
24-011_300,IMG_0040.MP4,DCIM\100_BTCF , 2024-01-25 11:15:20,TRUE,9,300,0,0,7,0,1,0,0,0,,0,
24-011_300,IMG_0041.MP4,DCIM\100_BTCF , 2024-01-25 11:17:02,TRUE,9,300,0,0,11,0,1,0,0,0,,0,
24-011_300,IMG_0042.MP4,DCIM\100_BTCF , 2024-01-25 11:18:26,TRUE,9,300,0,0,14,0,1,0,0,0,,0,
24-011_300,IMG_0043.MP4,DCIM\100_BTCF , 2024-01-25 11:19:40,TRUE,9,300,0,0,11,0,1,0,0,0,,0,
24-011_300,IMG_0044.MP4,DCIM\100_BTCF , 2024-01-25 11:20:50,TRUE,9,300,0,0,15,0,1,0,0,0,,0,
24-011_300,IMG_0045.MP4,DCIM\100_BTCF , 2024-01-25 11:22:06,TRUE,9,300,0,0,11,0,1,0,0,0,,0,
24-011_300,IMG_0046.MP4,DCIM\100_BTCF , 2024-01-25 11:23:40,TRUE,9,300,0,0,14,0,1,0,0,0,,0,
24-011_300,IMG_0047.MP4,DCIM\100_BTCF , 2024-01-25 11:24:52,TRUE,9,300,0,0,12,0,1,0,0,0,,0,
24-011_300,IMG_0048.MP4,DCIM\100_BTCF , 2024-01-25 11:26:40,TRUE,9,300,0,0,9,0,1,0,0,0,,0,
24-011_300,IMG_0049.MP4,DCIM\100_BTCF , 2024-01-25 11:27:54,TRUE,9,300,0,0,11,0,1,0,0,0,,0,
24-011_300,IMG_0050.MP4,DCIM\100_BTCF , 2024-01-25 11:29:38,TRUE,9,300,0,0,10,0,1,0,0,0,,0,
24-011_300,IMG_0051.MP4,DCIM\100_BTCF , 2024-01-25 11:31:18,TRUE,9,300,0,0,10,0,1,0,0,0,,0,
24-011_300,IMG_0052.MP4,DCIM\100_BTCF , 2024-01-25 11:33:32,TRUE,9,300,0,0,8,0,1,0,0,0,,0,
24-011_300,IMG_0053.MP4,DCIM\100_BTCF , 2024-01-25 11:35:08,TRUE,9,300,0,0,12,0,1,0,0,0,,0,
24-011_300,IMG_0054.MP4,DCIM\100_BTCF , 2024-01-25 11:36:42,TRUE,9,300,0,0,14,0,1,0,0,0,,0,
24-011_300,IMG_0055.MP4,DCIM\100_BTCF , 2024-01-25 11:38:30,TRUE,9,300,0,0,10,0,1,0,0,0,,0,
24-011_300,IMG_0056.MP4,DCIM\100_BTCF , 2024-01-25 11:39:44,TRUE,9,300,0,0,12,0,1,0,0,0,,0,
24-011_300,IMG_0057.MP4,DCIM\100_BTCF , 2024-01-25 11:40:54,TRUE,9,300,0,0,16,0,1,0,0,0,,0,
24-011_300,IMG_0058.MP4,DCIM\100_BTCF , 2024-01-25 11:42:04,TRUE,9,300,0,0,14,0,1,0,0,0,,0,
24-011_300,IMG_0059.MP4,DCIM\100_BTCF , 2024-01-25 11:43:10,TRUE,9,300,0,0,14,0,1,0,0,0,,0,
24-011_300,IMG_0060.MP4,DCIM\100_BTCF , 2024-01-25 11:44:26,TRUE,9,300,0,0,17,0,0,0,0,0,,0,
24-011_300,IMG_0061.MP4,DCIM\100_BTCF , 2024-01-25 11:45:44,TRUE,9,300,0,0,14,0,0,0,0,0,,0,
24-011_300,IMG_0062.MP4,DCIM\100_BTCF , 2024-01-25 11:46:56,TRUE,9,300,0,0,12,0,1,0,0,0,,0,
24-011_300,IMG_0063.MP4,DCIM\100_BTCF , 2024-01-25 11:48:16,TRUE,9,300,0,0,13,0,0,0,0,0,,0,
24-011_300,IMG_0064.MP4,DCIM\100_BTCF , 2024-01-25 11:49:26,TRUE,9,300,0,0,16,0,0,0,0,0,,0,
24-011_300,IMG_0065.MP4,DCIM\100_BTCF , 2024-01-25 11:50:34,TRUE,9,300,0,0,8,0,2,0,0,0,,0,
24-011_300,IMG_0066.MP4,DCIM\100_BTCF , 2024-01-25 11:51:52,TRUE,9,300,0,0,6,0,2,0,0,0,,0,
24-011_300,IMG_0067.MP4,DCIM\100_BTCF , 2024-01-25 11:53:06,TRUE,9,300,0,0,7,0,2,0,0,0,,0,
24-011_300,IMG_0068.MP4,DCIM\100_BTCF , 2024-01-25 11:54:42,TRUE,9,300,0,0,6,0,2,0,0,0,,0,
24-011_300,IMG_0069.MP4,DCIM\100_BTCF , 2024-01-25 11:55:52,TRUE,9,300,0,0,5,0,2,0,0,0,,0,raven call
24-011_300,IMG_0070.MP4,DCIM\100_BTCF , 2024-01-25 11:57:38,TRUE,9,300,0,0,6,0,2,0,0,0,,0,
24-011_300,IMG_0071.MP4,DCIM\100_BTCF , 2024-01-25 11:58:50,TRUE,9,300,0,0,5,0,2,0,0,0,,0,
24-011_300,IMG_0072.MP4,DCIM\100_BTCF , 2024-01-25 12:00:08,TRUE,9,300,0,0,5,0,2,0,0,0,,0,
24-011_300,IMG_0073.MP4,DCIM\100_BTCF , 2024-01-25 12:01:46,TRUE,9,300,0,0,7,0,2,0,0,0,,0,
24-011_300,IMG_0074.MP4,DCIM\100_BTCF , 2024-01-25 12:03:08,TRUE,9,300,0,0,7,0,2,0,0,0,,0,
24-011_300,IMG_0075.MP4,DCIM\100_BTCF , 2024-01-25 12:04:26,TRUE,9,300,0,0,8,0,2,0,0,0,,0,
24-011_300,IMG_0076.MP4,DCIM\100_BTCF , 2024-01-25 12:05:36,TRUE,9,300,0,0,5,0,2,0,0,0,,0,
24-011_300,IMG_0077.MP4,DCIM\100_BTCF , 2024-01-25 12:06:54,TRUE,9,300,0,0,6,0,2,0,0,0,,0,
24-011_300,IMG_0078.MP4,DCIM\100_BTCF , 2024-01-25 12:08:08,TRUE,9,300,0,0,8,0,2,0,0,0,,0,
24-011_300,IMG_0079.MP4,DCIM\100_BTCF , 2024-01-25 12:09:32,TRUE,9,300,0,0,7,0,2,0,0,0,,0,
24-011_300,IMG_0080.MP4,DCIM\100_BTCF , 2024-01-25 12:10:42,TRUE,9,300,0,0,7,0,2,0,0,0,,0,
24-011_300,IMG_0081.MP4,DCIM\100_BTCF , 2024-01-25 12:11:52,TRUE,9,300,0,0,8,0,2,0,0,0,,0,raven call
24-011_300,IMG_0082.MP4,DCIM\100_BTCF , 2024-01-25 12:13:00,TRUE,9,300,0,0,9,0,2,0,0,0,,0,
24-011_300,IMG_0083.MP4,DCIM\100_BTCF , 2024-01-25 12:14:10,TRUE,9,300,0,0,6,0,2,0,0,0,,0,
24-011_300,IMG_0084.MP4,DCIM\100_BTCF , 2024-01-25 12:15:20,TRUE,9,300,0,0,9,0,2,0,0,0,,0,
24-011_300,IMG_0085.MP4,DCIM\100_BTCF , 2024-01-25 12:16:32,TRUE,9,300,0,0,5,0,2,0,0,0,,0,
24-011_300,IMG_0086.MP4,DCIM\100_BTCF , 2024-01-25 12:17:50,TRUE,9,300,0,0,8,0,2,0,0,0,,0,
24-011_300,IMG_0087.MP4,DCIM\100_BTCF , 2024-01-25 12:19:22,TRUE,9,300,0,0,5,0,2,0,0,0,,0,
