RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
23-005_262_V,IMG_0001.MP4,DCIM\100_BTCF, 2023-01-18 10:31:26,TRUE,3,262,0,0,0,0,0,0,0,0,,0,deployment
23-005_262_V,IMG_0002.MP4,DCIM\100_BTCF, 2023-01-18 10:34:54,TRUE,3,262,0,0,0,0,0,0,0,0,,0,deployment
23-005_262_V,IMG_0003.MP4,DCIM\100_BTCF, 2023-01-18 10:36:32,TRUE,3,262,0,0,0,0,0,0,0,0,,0,deployment
23-005_262_V,IMG_0004.MP4,DCIM\100_BTCF, 2023-01-18 10:37:52,TRUE,3,262,0,0,0,0,0,0,0,0,,0,deployment
23-005_262_V,IMG_0005.MP4,DCIM\100_BTCF, 2023-01-18 10:42:32,TRUE,3,262,0,0,0,0,0,0,0,0,,0,deployment
23-005_262_V,IMG_0006.MP4,DCIM\100_BTCF, 2023-01-18 10:43:56,TRUE,3,262,0,0,0,0,0,0,0,0,,0,deployment
23-005_262_V,IMG_0007.MP4,DCIM\100_BTCF, 2023-01-18 12:24:38,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0008.MP4,DCIM\100_BTCF, 2023-01-18 12:27:16,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0009.MP4,DCIM\100_BTCF, 2023-01-18 12:29:06,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0010.MP4,DCIM\100_BTCF, 2023-01-18 12:32:54,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0011.MP4,DCIM\100_BTCF, 2023-01-18 12:35:32,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0012.MP4,DCIM\100_BTCF, 2023-01-18 12:38:08,TRUE,3,262,0,0,0,0,0,0,0,0,,0,
23-005_262_V,IMG_0013.MP4,DCIM\100_BTCF, 2023-01-18 12:43:10,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0014.MP4,DCIM\100_BTCF, 2023-01-18 12:48:02,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0015.MP4,DCIM\100_BTCF, 2023-01-18 12:51:46,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0016.MP4,DCIM\100_BTCF, 2023-01-18 12:53:10,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0017.MP4,DCIM\100_BTCF, 2023-01-18 12:54:56,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0018.MP4,DCIM\100_BTCF, 2023-01-18 12:56:50,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0019.MP4,DCIM\100_BTCF, 2023-01-18 12:58:18,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0020.MP4,DCIM\100_BTCF, 2023-01-18 13:00:16,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0021.MP4,DCIM\100_BTCF, 2023-01-18 13:02:38,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0022.MP4,DCIM\100_BTCF, 2023-01-18 13:05:06,TRUE,3,262,0,0,0,0,0,0,0,0,,0,
23-005_262_V,IMG_0023.MP4,DCIM\100_BTCF, 2023-01-18 13:08:34,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0024.MP4,DCIM\100_BTCF, 2023-01-18 13:12:44,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0025.MP4,DCIM\100_BTCF, 2023-01-18 13:21:30,TRUE,3,262,0,0,0,0,0,0,0,0,,0,
23-005_262_V,IMG_0026.MP4,DCIM\100_BTCF, 2023-01-18 13:25:08,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0027.MP4,DCIM\100_BTCF, 2023-01-18 13:27:18,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0028.MP4,DCIM\100_BTCF, 2023-01-18 13:29:32,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0029.MP4,DCIM\100_BTCF, 2023-01-18 13:30:56,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0030.MP4,DCIM\100_BTCF, 2023-01-18 13:33:04,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0031.MP4,DCIM\100_BTCF, 2023-01-18 13:34:38,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0032.MP4,DCIM\100_BTCF, 2023-01-18 13:36:22,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0033.MP4,DCIM\100_BTCF, 2023-01-18 13:38:00,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0034.MP4,DCIM\100_BTCF, 2023-01-18 13:39:42,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0035.MP4,DCIM\100_BTCF, 2023-01-18 13:41:20,TRUE,3,262,0,0,2,0,0,0,0,0,,0,
23-005_262_V,IMG_0036.MP4,DCIM\100_BTCF, 2023-01-18 13:42:48,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0037.MP4,DCIM\100_BTCF, 2023-01-18 13:44:17,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
23-005_262_V,IMG_0038.MP4,DCIM\100_BTCF, 2023-01-18 13:45:52,TRUE,3,262,0,0,1,0,0,0,0,0,,0,
