RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
25-015_299,IMG_0001.MP4,DCIM\100_BTCF, 2025-02-02 15:42:16,true,13,299,0,0,0,0,0,0,0,0,,0,set up
25-015_299,IMG_0002.MP4,DCIM\100_BTCF, 2025-02-02 17:52:36,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0003.MP4,DCIM\100_BTCF, 2025-02-02 17:53:44,false,13,299,2,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0004.MP4,DCIM\100_BTCF, 2025-02-02 17:55:02,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0005.MP4,DCIM\100_BTCF, 2025-02-02 18:07:06,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0006.MP4,DCIM\100_BTCF, 2025-02-02 18:08:36,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0007.MP4,DCIM\100_BTCF, 2025-02-02 18:16:06,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0008.MP4,DCIM\100_BTCF, 2025-02-02 18:17:14,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0009.MP4,DCIM\100_BTCF, 2025-02-02 18:26:00,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0010.MP4,DCIM\100_BTCF, 2025-02-02 18:27:08,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0011.MP4,DCIM\100_BTCF, 2025-02-02 18:28:16,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0012.MP4,DCIM\100_BTCF, 2025-02-02 18:29:28,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0013.MP4,DCIM\100_BTCF, 2025-02-02 18:42:56,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0014.MP4,DCIM\100_BTCF, 2025-02-02 18:44:04,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0015.MP4,DCIM\100_BTCF, 2025-02-02 18:45:12,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0016.MP4,DCIM\100_BTCF, 2025-02-02 18:46:20,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0017.MP4,DCIM\100_BTCF, 2025-02-02 18:47:28,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0018.MP4,DCIM\100_BTCF, 2025-02-02 18:48:36,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0019.MP4,DCIM\100_BTCF, 2025-02-02 18:49:44,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0020.MP4,DCIM\100_BTCF, 2025-02-02 18:50:52,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0021.MP4,DCIM\100_BTCF, 2025-02-02 18:52:00,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0022.MP4,DCIM\100_BTCF, 2025-02-02 18:53:08,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0023.MP4,DCIM\100_BTCF, 2025-02-02 18:54:16,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0024.MP4,DCIM\100_BTCF, 2025-02-02 18:55:22,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0025.MP4,DCIM\100_BTCF, 2025-02-02 18:56:32,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0026.MP4,DCIM\100_BTCF, 2025-02-02 18:57:42,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0027.MP4,DCIM\100_BTCF, 2025-02-02 18:58:50,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0028.MP4,DCIM\100_BTCF, 2025-02-02 18:59:58,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0029.MP4,DCIM\100_BTCF, 2025-02-02 19:01:06,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0030.MP4,DCIM\100_BTCF, 2025-02-02 19:02:14,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0031.MP4,DCIM\100_BTCF, 2025-02-02 19:03:22,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0032.MP4,DCIM\100_BTCF, 2025-02-02 19:04:30,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0033.MP4,DCIM\100_BTCF, 2025-02-02 19:05:38,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0034.MP4,DCIM\100_BTCF, 2025-02-02 19:06:46,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0035.MP4,DCIM\100_BTCF, 2025-02-02 19:07:56,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0036.MP4,DCIM\100_BTCF, 2025-02-02 19:09:04,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0037.MP4,DCIM\100_BTCF, 2025-02-02 19:10:14,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0038.MP4,DCIM\100_BTCF, 2025-02-02 19:11:22,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0039.MP4,DCIM\100_BTCF, 2025-02-02 19:12:32,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0040.MP4,DCIM\100_BTCF, 2025-02-02 19:13:40,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0041.MP4,DCIM\100_BTCF, 2025-02-02 19:14:48,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0042.MP4,DCIM\100_BTCF, 2025-02-02 19:15:56,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0043.MP4,DCIM\100_BTCF, 2025-02-02 19:17:04,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0044.MP4,DCIM\100_BTCF, 2025-02-02 19:18:12,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0045.MP4,DCIM\100_BTCF, 2025-02-02 19:19:18,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0046.MP4,DCIM\100_BTCF, 2025-02-02 19:20:26,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0047.MP4,DCIM\100_BTCF, 2025-02-02 19:21:40,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0048.MP4,DCIM\100_BTCF, 2025-02-02 19:27:10,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0049.MP4,DCIM\100_BTCF, 2025-02-02 19:28:22,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0050.MP4,DCIM\100_BTCF, 2025-02-02 19:39:02,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0051.MP4,DCIM\100_BTCF, 2025-02-02 19:40:10,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0052.MP4,DCIM\100_BTCF, 2025-02-02 19:41:18,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0053.MP4,DCIM\100_BTCF, 2025-02-02 19:42:26,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0054.MP4,DCIM\100_BTCF, 2025-02-02 19:43:34,false,13,299,1,0,0,0,0,0,0,0,,0,
25-015_299,IMG_0055.MP4,DCIM\100_BTCF, 2025-02-02 19:44:42,false,13,299,1,0,0,0,0,0,0,0,,0,
