RootFolder,File,RelativePath,DateTime,DeleteFlag,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment,
22-305_262,IMG_0051.MP4,262, 2022-12-14 18:53:06,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0052.MP4,262, 2022-12-14 18:54:30,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0053.MP4,262, 2022-12-14 18:55:56,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0054.MP4,262, 2022-12-14 19:00:56,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0055.MP4,262, 2022-12-14 19:02:20,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0056.MP4,262, 2022-12-14 19:04:06,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0057.MP4,262, 2022-12-14 19:05:30,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0058.MP4,262, 2022-12-14 19:06:56,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0059.MP4,262, 2022-12-14 19:08:22,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0060.MP4,262, 2022-12-14 19:09:46,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0061.MP4,262, 2022-12-14 19:11:40,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0062.MP4,262, 2022-12-14 19:13:06,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0063.MP4,262, 2022-12-14 19:14:36,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0064.MP4,262, 2022-12-14 19:17:32,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
22-305_262,IMG_0065.MP4,262, 2022-12-14 19:20:36,false,false,1,262,1,0,0,0,0,0,0,0,,0,,
