RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
24-302_322,IMG_0001.MP4,DCIM\100_BTCF ,2024-12-02 08:51:56,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0002.MP4,DCIM\100_BTCF ,2024-12-02 08:55:38,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0003.MP4,DCIM\100_BTCF ,2024-12-02 09:01:48,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0004.MP4,DCIM\100_BTCF ,2024-12-02 09:04:22,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0005.MP4,DCIM\100_BTCF ,2024-12-02 09:05:44,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0006.MP4,DCIM\100_BTCF ,2024-12-02 09:06:58,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0007.MP4,DCIM\100_BTCF ,2024-12-02 09:09:34,true,11,322,0,0,0,0,0,0,0,0,,0,
24-302_322,IMG_0008.MP4,DCIM\100_BTCF ,2024-12-02 09:14:06,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0009.MP4,DCIM\100_BTCF ,2024-12-02 09:31:56,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0010.MP4,DCIM\100_BTCF ,2024-12-02 09:33:36,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0011.MP4,DCIM\100_BTCF ,2024-12-02 09:40:04,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0012.MP4,DCIM\100_BTCF ,2024-12-02 09:41:20,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0013.MP4,DCIM\100_BTCF ,2024-12-02 09:42:50,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0014.MP4,DCIM\100_BTCF ,2024-12-02 09:45:34,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0015.MP4,DCIM\100_BTCF ,2024-12-02 09:46:48,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0016.MP4,DCIM\100_BTCF ,2024-12-02 09:47:56,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0017.MP4,DCIM\100_BTCF ,2024-12-02 09:52:46,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0018.MP4,DCIM\100_BTCF ,2024-12-02 09:53:58,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0019.MP4,DCIM\100_BTCF ,2024-12-02 09:55:12,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0020.MP4,DCIM\100_BTCF ,2024-12-02 09:57:30,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0021.MP4,DCIM\100_BTCF ,2024-12-02 09:59:20,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0022.MP4,DCIM\100_BTCF ,2024-12-02 10:00:34,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0023.MP4,DCIM\100_BTCF ,2024-12-02 10:02:52,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0024.MP4,DCIM\100_BTCF ,2024-12-02 10:04:14,true,11,322,0,0,3,0,0,0,0,0,,0,
24-302_322,IMG_0025.MP4,DCIM\100_BTCF ,2024-12-02 10:05:36,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0026.MP4,DCIM\100_BTCF ,2024-12-02 10:08:10,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0027.MP4,DCIM\100_BTCF ,2024-12-02 10:09:30,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0028.MP4,DCIM\100_BTCF ,2024-12-02 10:13:36,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0029.MP4,DCIM\100_BTCF ,2024-12-02 10:14:58,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0030.MP4,DCIM\100_BTCF ,2024-12-02 10:16:42,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0031.MP4,DCIM\100_BTCF ,2024-12-02 10:19:06,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0032.MP4,DCIM\100_BTCF ,2024-12-02 10:23:22,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0033.MP4,DCIM\100_BTCF ,2024-12-02 10:35:48,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0034.MP4,DCIM\100_BTCF ,2024-12-02 10:37:46,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0035.MP4,DCIM\100_BTCF ,2024-12-02 10:39:02,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0036.MP4,DCIM\100_BTCF ,2024-12-02 10:40:38,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0037.MP4,DCIM\100_BTCF ,2024-12-02 10:45:36,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0038.MP4,DCIM\100_BTCF ,2024-12-02 10:50:40,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0039.MP4,DCIM\100_BTCF ,2024-12-02 10:53:12,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0040.MP4,DCIM\100_BTCF ,2024-12-02 11:05:50,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0041.MP4,DCIM\100_BTCF ,2024-12-02 11:07:20,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0042.MP4,DCIM\100_BTCF ,2024-12-02 11:24:44,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0043.MP4,DCIM\100_BTCF ,2024-12-02 11:26:40,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0044.MP4,DCIM\100_BTCF ,2024-12-02 11:27:56,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0045.MP4,DCIM\100_BTCF ,2024-12-02 11:31:10,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0046.MP4,DCIM\100_BTCF ,2024-12-02 11:38:50,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0047.MP4,DCIM\100_BTCF ,2024-12-02 11:50:48,true,11,322,0,0,2,0,0,0,0,0,,0,
24-302_322,IMG_0048.MP4,DCIM\100_BTCF ,2024-12-02 13:18:36,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0049.MP4,DCIM\100_BTCF ,2024-12-02 13:21:30,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0050.MP4,DCIM\100_BTCF ,2024-12-02 13:47:38,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0051.MP4,DCIM\100_BTCF ,2024-12-02 13:50:16,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0052.MP4,DCIM\100_BTCF ,2024-12-03 08:04:12,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0053.MP4,DCIM\100_BTCF ,2024-12-03 08:05:26,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0054.MP4,DCIM\100_BTCF ,2024-12-04 10:50:46,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0055.MP4,DCIM\100_BTCF ,2024-12-04 10:52:12,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0056.MP4,DCIM\100_BTCF ,2024-12-04 10:56:12,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0057.MP4,DCIM\100_BTCF ,2024-12-05 17:04:30,false,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0058.MP4,DCIM\100_BTCF ,2024-12-06 12:12:26,true,11,322,0,0,1,0,0,0,0,0,,0,
24-302_322,IMG_0059.MP4,DCIM\100_BTCF ,2024-12-08 18:10:54,false,11,322,0,0,0,0,0,0,0,1,,0,
24-302_322,IMG_0060.MP4,DCIM\100_BTCF ,2024-12-08 18:12:00,false,11,322,0,0,0,0,0,0,0,1,,0,
24-302_322,IMG_0061.MP4,DCIM\100_BTCF ,2024-12-09 08:47:30,true,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0062.MP4,DCIM\100_BTCF ,2024-12-09 08:48:36,false,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0063.MP4,DCIM\100_BTCF ,2024-12-09 08:49:44,false,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0064.MP4,DCIM\100_BTCF ,2024-12-09 08:57:46,false,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0065.MP4,DCIM\100_BTCF ,2024-12-09 08:58:52,false,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0066.MP4,DCIM\100_BTCF ,2024-12-09 09:02:08,false,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0067.MP4,DCIM\100_BTCF ,2024-12-09 09:03:16,false,11,322,0,0,0,0,0,0,0,0,bison,1,
24-302_322,IMG_0068.MP4,DCIM\100_BTCF ,2024-12-09 09:05:54,false,11,322,0,0,0,0,0,0,0,0,bison,1,
