RootFolder,File,RelativePath,DateTime,DeleteFlag,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment,
23-002_242_P,IMG_0042.JPG,DCIM\100_BTCF, 2023-01-09 11:51:31,false,true,2,242,0,0,1,0,0,0,0,0,,0,,
23-002_242_P,IMG_0043.JPG,DCIM\100_BTCF, 2023-01-09 11:51:33,false,true,2,242,0,0,3,0,0,0,0,0,,0,,
23-002_242_P,IMG_0044.JPG,DCIM\100_BTCF, 2023-01-09 11:51:35,false,true,2,242,0,0,4,0,0,0,0,0,,0,,
23-002_242_P,IMG_0045.JPG,DCIM\100_BTCF, 2023-01-09 11:51:38,false,true,2,242,0,0,4,0,0,0,0,0,,0,,
23-002_242_P,IMG_0046.JPG,DCIM\100_BTCF, 2023-01-09 11:52:53,false,true,2,242,0,0,7,0,0,0,0,0,,0,,
23-002_242_P,IMG_0047.JPG,DCIM\100_BTCF, 2023-01-09 11:52:55,false,true,2,242,0,0,6,0,0,0,0,0,,0,,
23-002_242_P,IMG_0048.JPG,DCIM\100_BTCF, 2023-01-09 11:52:57,false,true,2,242,0,0,7,0,0,0,0,0,,0,,
23-002_242_P,IMG_0049.JPG,DCIM\100_BTCF, 2023-01-09 11:52:59,false,true,2,242,0,0,6,0,0,0,0,0,,0,,
23-002_242_P,IMG_0050.JPG,DCIM\100_BTCF, 2023-01-09 11:53:01,false,true,2,242,0,0,6,0,0,0,0,0,,0,,
23-002_242_P,IMG_0051.JPG,DCIM\100_BTCF, 2023-01-09 11:54:08,false,true,2,242,0,0,10,0,0,0,0,0,,0,,
23-002_242_P,IMG_0052.JPG,DCIM\100_BTCF, 2023-01-09 11:54:10,false,true,2,242,0,0,10,0,0,0,0,0,,0,,
23-002_242_P,IMG_0053.JPG,DCIM\100_BTCF, 2023-01-09 11:54:12,false,true,2,242,0,0,10,0,0,0,0,0,,0,,
23-002_242_P,IMG_0054.JPG,DCIM\100_BTCF, 2023-01-09 11:54:14,false,true,2,242,0,0,10,0,0,0,0,0,,0,,
23-002_242_P,IMG_0055.JPG,DCIM\100_BTCF, 2023-01-09 11:54:17,false,true,2,242,0,0,9,0,0,0,0,0,,0,,
23-002_242_P,IMG_0056.JPG,DCIM\100_BTCF, 2023-01-09 11:55:57,false,true,2,242,0,0,7,0,0,0,0,0,,0,,
23-002_242_P,IMG_0057.JPG,DCIM\100_BTCF, 2023-01-09 11:55:59,false,true,2,242,0,0,7,0,0,0,0,0,,0,,
23-002_242_P,IMG_0058.JPG,DCIM\100_BTCF, 2023-01-09 11:56:01,false,true,2,242,0,0,7,0,0,0,0,0,,0,,
23-002_242_P,IMG_0059.JPG,DCIM\100_BTCF, 2023-01-09 11:56:04,false,true,2,242,0,0,7,0,0,0,0,0,,0,,
23-002_242_P,IMG_0060.JPG,DCIM\100_BTCF, 2023-01-09 11:56:06,false,true,2,242,0,0,8,0,0,0,0,0,,0,,
23-002_242_P,IMG_0061.JPG,DCIM\100_BTCF, 2023-01-09 11:57:15,false,true,2,242,0,0,7,0,0,0,0,0,,0,,
